Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
KAI7835279.1,Cytoplasm,,0.8791999816894531,0.24150000512599945,0.08219999819993973,0.305400013923645,0.13619999587535858,0.009200000204145908,0.3411000072956085,0.08429999649524689,0.16060000658035278,0.00559999980032444
KAI7835308.1,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.7853999733924866,0.6699000000953674,0.05620000138878822,0.07769999653100967,0.2168000042438507,0.00430000014603138,0.13930000364780426,0.06889999657869339,0.16269999742507935,0.0007999999797903001
KAI7835319.1,Mitochondrion,Peroxisomal targeting signal,0.3336000144481659,0.22509999573230743,0.1234000027179718,0.27549999952316284,0.7444000244140625,0.0071000000461936,0.42500001192092896,0.17820000648498535,0.2295999974012375,0.6671000123023987
KAI7835327.1,Extracellular|Cell membrane,,0.16699999570846558,0.06120000034570694,0.7373999953269958,0.6626999974250793,0.12890000641345978,0.012900000438094139,0.4242999851703644,0.4781000018119812,0.41999998688697815,0.004999999888241291
KAI7835328.1,Cytoplasm|Nucleus,,0.6944000124931335,0.532800018787384,0.035999998450279236,0.04619999974966049,0.19339999556541443,0.40720000863075256,0.15379999577999115,0.07479999959468842,0.2222999930381775,0.03370000049471855
KAI7835341.1,Cytoplasm,,0.5097000002861023,0.37119999527931213,0.3246999979019165,0.12929999828338623,0.375900000333786,0.013799999840557575,0.22679999470710754,0.07649999856948853,0.11240000277757645,0.026399999856948853
KAI7835342.1,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.20329999923706055,0.0860000029206276,0.10639999806880951,0.30630001425743103,0.1451999992132187,0.007300000172108412,0.7924000024795532,0.4677000045776367,0.5763000249862671,0.044599998742341995
KAI7835358.1,Extracellular,Signal peptide,0.17010000348091125,0.06469999998807907,0.8176000118255615,0.24609999358654022,0.11259999871253967,0.03500000014901161,0.3546999990940094,0.46709999442100525,0.28060001134872437,0.008799999952316284
KAI7835365.1,Cytoplasm,Peroxisomal targeting signal,0.8165000081062317,0.29159998893737793,0.2134999930858612,0.1371999979019165,0.2904999852180481,0.20059999823570251,0.03790000081062317,0.06210000067949295,0.019600000232458115,0.20250000059604645
KAI7835366.1,Cytoplasm,,0.7425000071525574,0.39959999918937683,0.02979999966919422,0.15360000729560852,0.3720000088214874,0.014999999664723873,0.20499999821186066,0.2151000052690506,0.17829999327659607,0.030300000682473183
KAI7835371.1,Cytoplasm|Mitochondrion,Peroxisomal targeting signal,0.7785999774932861,0.23510000109672546,0.004699999932199717,0.06080000102519989,0.6486999988555908,0.061799999326467514,0.08340000361204147,0.2502000033855438,0.3077999949455261,0.15950000286102295
KAI7835372.1,Cytoplasm|Nucleus,Nuclear localization signal,0.6643999814987183,0.597000002861023,0.03799999877810478,0.12039999663829803,0.1746000051498413,0.038100000470876694,0.04769999906420708,0.07240000367164612,0.04520000144839287,0.003700000001117587
KAI7835373.1,Cytoplasm,,0.7124999761581421,0.25040000677108765,0.07180000096559525,0.06360000371932983,0.15479999780654907,0.03229999914765358,0.0502999983727932,0.052000001072883606,0.149399995803833,0.005400000140070915
KAI7835374.1,Cytoplasm,,0.6660000085830688,0.28870001435279846,0.11180000007152557,0.05270000174641609,0.17800000309944153,0.0071000000461936,0.0722000002861023,0.11959999799728394,0.1137000024318695,0.024700000882148743
KAI7835388.1,Endoplasmic reticulum,,0.163100004196167,0.14489999413490295,0.014999999664723873,0.1396999955177307,0.536899983882904,0.010999999940395355,0.8585000038146973,0.5076000094413757,0.6055999994277954,0.02850000001490116
KAI7835392.1,Cytoplasm,Peroxisomal targeting signal,0.6772000193595886,0.23989999294281006,0.22519999742507935,0.07559999823570251,0.5264000296592712,0.21490000188350677,0.1428000032901764,0.28439998626708984,0.21709999442100525,0.5443000197410583
KAI7835395.1,Mitochondrion,Mitochondrial transit peptide,0.1031000018119812,0.08079999685287476,0.0786999985575676,0.08079999685287476,0.9142000079154968,0.033399999141693115,0.05420000106096268,0.048700001090765,0.08049999922513962,0.03720000013709068
KAI7835402.1,Cytoplasm,Nuclear localization signal,0.7182999849319458,0.3853999972343445,0.06589999794960022,0.188400000333786,0.2732999920845032,0.010400000028312206,0.12150000035762787,0.06629999727010727,0.09570000320672989,0.002899999963119626
KAI7835403.1,Cytoplasm,Nuclear localization signal,0.7239000201225281,0.3978999853134155,0.06069999933242798,0.20229999721050262,0.2606000006198883,0.010499999858438969,0.12449999898672104,0.0706000030040741,0.09220000356435776,0.002400000113993883
KAI7835414.1,Cytoplasm|Nucleus,Nuclear localization signal,0.5990999937057495,0.6610999703407288,0.0494999997317791,0.04500000178813934,0.12099999934434891,0.0013000000035390258,0.0406000018119812,0.14470000565052032,0.09570000320672989,0.0003000000142492354
KAI7835418.1,Cytoplasm,Peroxisomal targeting signal,0.7717999815940857,0.40549999475479126,0.13099999725818634,0.04899999871850014,0.16120000183582306,0.008299999870359898,0.30720001459121704,0.05939999967813492,0.025800000876188278,0.38280001282691956
KAI7835424.1,Cell membrane|Endoplasmic reticulum,Transmembrane domain,0.19689999520778656,0.12790000438690186,0.01080000028014183,0.5619999766349792,0.6111000180244446,0.10719999670982361,0.6815999746322632,0.4530999958515167,0.4821999967098236,0.005499999970197678
KAI7835426.1,Extracellular,Signal peptide,0.4512999951839447,0.18199999630451202,0.7411999702453613,0.051100000739097595,0.29499998688697815,0.14159999787807465,0.25600001215934753,0.23899999260902405,0.34549999237060547,0.029600000008940697
KAI7835429.1,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.17550000548362732,0.08630000054836273,0.4562999904155731,0.6396999955177307,0.10930000245571136,0.02710000053048134,0.30979999899864197,0.5759000182151794,0.39899998903274536,0.006899999920278788
KAI7835430.1,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.17419999837875366,0.08569999784231186,0.4553000032901764,0.6396999955177307,0.10719999670982361,0.02759999968111515,0.3091000020503998,0.5767999887466431,0.397599995136261,0.007199999876320362
KAI7835432.1,Extracellular,Signal peptide,0.39410001039505005,0.33149999380111694,0.7534999847412109,0.09070000052452087,0.30329999327659607,0.04569999873638153,0.1395999938249588,0.029400000348687172,0.25459998846054077,0.0026000000070780516
KAI7835447.1,Cytoplasm,,0.5748999714851379,0.34389999508857727,0.09600000083446503,0.11150000244379044,0.39640000462532043,0.007199999876320362,0.2029000073671341,0.3133000135421753,0.37070000171661377,0.07109999656677246
KAI7835449.1,Extracellular,Signal peptide,0.2596000134944916,0.11309999972581863,0.506600022315979,0.1289999932050705,0.2752000093460083,0.03689999878406525,0.34940001368522644,0.31679999828338623,0.31540000438690186,0.009800000116229057
KAI7835457.1,Endoplasmic reticulum|Golgi apparatus,Signal peptide|Transmembrane domain,0.22859999537467957,0.14339999854564667,0.052000001072883606,0.23680000007152557,0.13210000097751617,0.013799999840557575,0.6725000143051147,0.5618000030517578,0.8267999887466431,0.018200000748038292
KAI7835465.1,Cytoplasm,Peroxisomal targeting signal,0.7404999732971191,0.35350000858306885,0.07020000368356705,0.12839999794960022,0.5116000175476074,0.0786999985575676,0.1500999927520752,0.2207999974489212,0.1574999988079071,0.475600004196167
KAI7835473.1,Cytoplasm,Peroxisomal targeting signal,0.7875000238418579,0.2800999879837036,0.061900001019239426,0.18960000574588776,0.12710000574588776,0.1356000006198883,0.20600000023841858,0.17479999363422394,0.11819999665021896,0.3086000084877014
